economy;economycode;female;age;educ;inc_q;emp_in;urbanicity;dig_account;borrowed;saved;fin2;anydigpayment;fin45;internet_use
Saudi Arabia;SAU;1;30;2;5;2;2;0;0;0;2;0;3;1
Saudi Arabia;SAU;2;30;2;2;1;2;1;1;0;1;1;4;1
Saudi Arabia;SAU;2;30;3;5;1;2;1;1;1;1;1;4;1
Saudi Arabia;SAU;2;45;2;3;1;2;1;0;1;1;1;4;1
Saudi Arabia;SAU;1;18;2;3;2;1;0;0;0;2;0;4;1
Saudi Arabia;SAU;1;45;2;5;1;2;1;1;1;1;1;1;1
Saudi Arabia;SAU;2;50;2;1;1;2;1;1;1;1;1;1;1
Saudi Arabia;SAU;2;31;3;1;1;2;1;1;1;1;1;4;1
Saudi Arabia;SAU;1;27;3;5;1;2;1;1;1;1;1;1;1
Saudi Arabia;SAU;2;32;2;2;2;1;1;1;1;1;1;3;1
Saudi Arabia;SAU;1;26;3;4;2;2;0;1;0;2;0;5;1
Saudi Arabia;SAU;1;24;2;4;2;2;1;0;0;1;1;4;1
Saudi Arabia;SAU;1;37;3;1;2;2;0;0;1;2;0;5;1
Saudi Arabia;SAU;2;50;3;1;1;1;1;1;0;1;1;3;1
